No,프로젝트,D/P&BOM 코드,D/P&BOM 내역,설계기능,도면종류,협력사,직영책임부서,작업 출도계획,작업 출도실적,일정 차이,일정 준수 여부
35,P1,DPBOM000000035,가공,F4,D7,자체 진행,D3,2022-03-08,2022-03-03,-5,False
36,P1,DPBOM000000036,가공,F2,D2,D5,D3,2024-04-06,2024-03-08,-29,False
37,P1,DPBOM000000037,족장,F3,D3,자체 진행,D4,2021-09-14,2021-09-06,-8,False
38,P1,DPBOM000000038,공작,F2,D4,D5,D3,2023-09-06,2023-08-20,-17,False
39,P1,DPBOM000000039,철의장,F2,D5,D5,D3,2022-04-13,2022-03-31,-13,False
40,P1,DPBOM000000040,가공,F2,D2,D5,D3,2024-04-24,2024-04-10,-14,False
41,P1,DPBOM000000041,재마킹,F4,D6,자체 진행,D3,2023-07-24,2023-07-20,-4,False
42,P1,DPBOM000000042,가공,F4,D7,자체 진행,D3,2022-05-15,2022-04-23,-22,False
43,P1,DPBOM000000043,가공,F2,D2,D5,D3,2023-10-08,2023-09-09,-29,False
44,P1,DPBOM000000044,족장,F3,D3,자체 진행,D4,2024-04-30,2024-04-22,-8,False
45,P1,DPBOM000000045,재마킹,F4,D6,자체 진행,D3,2022-07-20,2022-07-12,-8,False
46,P1,DPBOM000000046,가공,F4,D7,자체 진행,D3,2024-04-24,2024-04-01,-23,False
47,P1,DPBOM000000047,의장,F1,D8,자체 진행,D1,2023-09-06,2023-08-30,-7,False
48,P1,DPBOM000000048,공작,F2,D4,D5,D3,2021-10-03,2021-09-06,-27,False
49,P1,DPBOM000000049,철의장,F2,D5,D5,D3,2022-09-06,2022-09-03,-3,False
50,P1,DPBOM000000050,가공,F2,D2,D5,D3,2023-04-24,2023-04-23,-1,False
51,P1,DPBOM000000051,가공,F2,D2,D5,D3,2023-02-17,2023-02-02,-15,False
52,P1,DPBOM000000052,재마킹,F4,D6,자체 진행,D3,2023-05-31,2023-05-12,-19,False
53,P1,DPBOM000000053,가공,F4,D7,자체 진행,D3,2023-03-20,2023-03-02,-18,False
54,P1,DPBOM000000054,가공,F2,D2,D5,D3,2022-01-14,2021-12-30,-15,False
55,P1,DPBOM000000055,족장,F3,D3,자체 진행,D4,2022-03-08,2022-02-21,-15,False
56,P1,DPBOM000000056,재마킹,F4,D6,자체 진행,D3,2023-04-18,2023-03-25,-24,False
57,P1,DPBOM000000057,가공,F4,D7,자체 진행,D3,2022-09-23,2022-09-17,-6,False
58,P1,DPBOM000000058,의장,F1,D8,자체 진행,D1,2023-03-27,2023-03-23,-4,False
59,P1,DPBOM000000059,공작,F2,D4,D5,D3,2021-12-25,2021-12-16,-9,False
60,P1,DPBOM000000060,철의장,F2,D5,D5,D3,2022-08-25,2022-08-11,-14,False
61,P1,DPBOM000000061,가공,F2,D2,D5,D3,2022-10-15,2022-09-18,-27,False
62,P1,DPBOM000000062,가공,F2,D2,D5,D3,2022-12-25,2022-12-08,-17,False
63,P1,DPBOM000000063,재마킹,F4,D6,자체 진행,D3,2023-01-16,2023-01-09,-7,False
64,P1,DPBOM000000064,가공,F4,D7,자체 진행,D3,2024-07-22,2024-07-07,-15,False
65,P1,DPBOM000000065,가공,F2,D2,D5,D3,2022-06-02,2022-05-08,-25,False
66,P1,DPBOM000000066,족장,F3,D3,자체 진행,D4,2022-01-09,2021-12-14,-26,False
67,P1,DPBOM000000067,재마킹,F4,D6,자체 진행,D3,2023-02-21,2023-02-13,-8,False
68,P1,DPBOM000000068,가공,F4,D7,자체 진행,D3,2022-04-23,2022-04-09,-14,False
69,P1,DPBOM000000069,의장,F1,D8,자체 진행,D1,2024-04-22,2024-04-10,-12,False
70,P1,DPBOM000000070,공작,F2,D4,D5,D3,2023-07-16,2023-06-19,-27,False
71,P1,DPBOM000000071,철의장,F2,D5,D5,D3,2022-07-29,2022-07-17,-12,False
72,P1,DPBOM000000072,가공,F2,D2,D5,D3,2021-11-05,2021-10-12,-24,False
73,P1,DPBOM000000073,가공,F2,D2,D5,D3,2022-02-23,2022-02-15,-8,False
74,P1,DPBOM000000074,족장,F3,D3,자체 진행,D4,2021-10-22,2021-10-04,-18,False
75,P1,DPBOM000000075,가공,F4,D7,자체 진행,D3,2023-01-26,2023-01-05,-21,False
76,P1,DPBOM000000076,의장,F1,D8,자체 진행,D1,2022-07-11,2022-06-14,-27,False
77,P1,DPBOM000000077,공작,F2,D4,D5,D3,2023-03-01,2023-02-03,-26,False
78,P1,DPBOM000000078,철의장,F2,D5,D5,D3,2021-12-12,2021-11-17,-25,False
79,P1,DPBOM000000079,가공,F2,D2,D5,D3,2022-12-19,2022-11-25,-24,False
80,P1,DPBOM000000080,가공,F2,D2,D5,D3,2023-11-08,2023-10-13,-26,False
81,P1,DPBOM000000081,족장,F3,D3,자체 진행,D4,2022-05-09,2022-04-13,-26,False
82,P1,DPBOM000000082,가공,F4,D7,자체 진행,D3,2021-12-17,2021-12-12,-5,False
83,P1,DPBOM000000083,의장,F1,D8,자체 진행,D1,2022-07-10,2022-06-11,-29,False
84,P1,DPBOM000000084,공작,F2,D4,D5,D3,2022-02-18,2022-02-05,-13,False
85,P1,DPBOM000000085,철의장,F2,D5,D5,D3,2024-03-20,2024-03-13,-7,False
86,P1,DPBOM000000086,가공,F2,D2,D5,D3,2022-11-23,2022-11-12,-11,False
87,P1,DPBOM000000087,가공,F2,D2,자체 진행,D3,2023-09-28,2023-09-08,-20,False
88,P1,DPBOM000000088,족장,F3,D3,자체 진행,D4,2024-01-09,2023-12-31,-9,False
89,P1,DPBOM000000089,가공,F4,D7,자체 진행,D3,2022-02-16,2022-02-08,-8,False
90,P1,DPBOM000000090,의장,F1,D8,자체 진행,D1,2022-05-10,2022-04-11,-29,False
91,P1,DPBOM000000091,공작,F2,D4,자체 진행,D3,2022-06-27,2022-05-29,-29,False
92,P1,DPBOM000000092,철의장,F2,D5,자체 진행,D3,2022-10-29,2022-10-02,-27,False
93,P1,DPBOM000000093,가공,F2,D2,자체 진행,D3,2023-03-15,2023-03-14,-1,False
94,P1,DPBOM000000094,가공,F2,D2,자체 진행,D3,2022-10-01,2022-09-10,-21,False
95,P1,DPBOM000000095,족장,F3,D3,자체 진행,D4,2024-05-23,2024-04-27,-26,False
96,P1,DPBOM000000096,가공,F4,D7,자체 진행,D3,2022-11-23,2022-11-15,-8,False
97,P1,DPBOM000000097,의장,F1,D8,자체 진행,D1,2022-06-04,2022-05-15,-20,False
98,P1,DPBOM000000098,공작,F2,D4,자체 진행,D3,2023-04-26,2023-04-22,-4,False
99,P1,DPBOM000000099,철의장,F2,D5,자체 진행,D3,2023-07-28,2023-07-12,-16,False
100,P1,DPBOM000000100,가공,F2,D2,자체 진행,D3,2023-04-04,2023-03-15,-20,False
101,P1,DPBOM000000101,가공,F2,D2,자체 진행,D3,2022-12-14,2022-11-23,-21,False
102,P1,DPBOM000000102,족장,F3,D3,자체 진행,D4,2022-12-31,2022-12-16,-15,False
103,P1,DPBOM000000103,가공,F4,D7,자체 진행,D3,2024-04-11,2024-03-29,-13,False
104,P1,DPBOM000000104,의장,F1,D8,자체 진행,D1,2023-05-11,2023-05-03,-8,False
105,P1,DPBOM000000105,공작,F2,D4,자체 진행,D3,2021-12-15,2021-11-17,-28,False
106,P1,DPBOM000000106,철의장,F2,D5,자체 진행,D3,2022-08-16,2022-08-12,-4,False
107,P1,DPBOM000000107,가공,F2,D2,자체 진행,D3,2021-09-13,2021-08-31,-13,False
108,P1,DPBOM000000108,가공,F2,D2,자체 진행,D3,2023-03-26,2023-03-03,-23,False
109,P1,DPBOM000000109,족장,F3,D3,자체 진행,D4,2023-05-26,2023-05-21,-5,False
110,P1,DPBOM000000110,가공,F4,D7,자체 진행,D3,2022-11-01,2022-10-16,-16,False
111,P1,DPBOM000000111,의장,F1,D8,자체 진행,D1,2024-01-11,2024-01-02,-9,False
112,P1,DPBOM000000112,공작,F2,D4,자체 진행,D3,2021-12-06,2021-11-07,-29,False
113,P1,DPBOM000000113,철의장,F2,D5,자체 진행,D3,2024-02-21,2024-02-17,-4,False
114,P1,DPBOM000000114,가공,F2,D2,자체 진행,D3,2022-09-09,2022-09-03,-6,False
115,P1,DPBOM000000115,가공,F2,D2,자체 진행,D3,2024-02-16,2024-02-02,-14,False
116,P1,DPBOM000000116,족장,F3,D3,자체 진행,D4,2022-11-14,2022-11-02,-12,False
117,P1,DPBOM000000117,가공,F4,D7,자체 진행,D3,2022-07-08,2022-06-18,-20,False
118,P1,DPBOM000000118,의장,F1,D8,자체 진행,D1,2022-11-18,2022-10-30,-19,False
119,P1,DPBOM000000119,공작,F2,D4,자체 진행,D3,2023-11-21,2023-11-16,-5,False
120,P1,DPBOM000000120,철의장,F2,D5,자체 진행,D3,2022-07-11,2022-07-08,-3,False
121,P1,DPBOM000000121,가공,F2,D2,자체 진행,D3,2024-08-27,2024-08-18,-9,False
122,P1,DPBOM000000122,가공,F2,D2,자체 진행,D3,2024-01-30,2024-01-27,-3,False
123,P1,DPBOM000000123,족장,F3,D3,자체 진행,D4,2023-03-07,2023-02-18,-17,False
124,P1,DPBOM000000124,재마킹,F4,D6,자체 진행,D3,2023-04-01,2023-05-13,42,True
125,P1,DPBOM000000125,가공,F4,D7,자체 진행,D3,2023-10-09,2023-09-28,-11,False
126,P1,DPBOM000000126,의장,F1,D8,자체 진행,D1,2022-07-21,2022-07-17,-4,False
127,P1,DPBOM000000127,공작,F2,D4,자체 진행,D3,2024-01-18,2023-12-20,-29,False
128,P1,DPBOM000000128,철의장,F2,D5,자체 진행,D3,2022-02-10,2022-01-29,-12,False
129,P1,DPBOM000000129,가공,F2,D2,자체 진행,D3,2022-01-30,2022-01-06,-24,False
130,P1,DPBOM000000130,가공,F2,D2,자체 진행,D3,2023-01-31,2023-01-09,-22,False
131,P1,DPBOM000000131,재마킹,F4,D6,자체 진행,D3,2022-04-25,2022-04-02,-23,False
132,P1,DPBOM000000132,가공,F4,D7,자체 진행,D3,2022-08-14,2022-07-23,-22,False
133,P1,DPBOM000000133,가공,F2,D2,자체 진행,D3,2023-01-05,2022-12-18,-18,False
134,P1,DPBOM000000134,족장,F3,D3,자체 진행,D4,2023-05-09,2023-04-15,-24,False
135,P1,DPBOM000000135,재마킹,F4,D6,자체 진행,D3,2024-05-25,2024-04-28,-27,False
136,P1,DPBOM000000136,가공,F4,D7,자체 진행,D3,2023-02-13,2023-01-23,-21,False
137,P1,DPBOM000000137,의장,F1,D8,자체 진행,D1,2022-05-25,2022-04-28,-27,False
138,P1,DPBOM000000138,공작,F2,D4,자체 진행,D3,2022-05-18,2022-05-03,-15,False
139,P1,DPBOM000000139,철의장,F2,D5,자체 진행,D3,2023-10-24,2023-10-02,-22,False
140,P1,DPBOM000000140,가공,F2,D2,자체 진행,D3,2024-05-20,2024-05-14,-6,False
141,P1,DPBOM000000141,가공,F2,D2,자체 진행,D3,2023-10-15,2023-10-26,11,True
142,P1,DPBOM000000142,재마킹,F4,D6,자체 진행,D3,2021-11-25,2021-11-11,-14,False
143,P1,DPBOM000000143,가공,F4,D7,자체 진행,D3,2022-07-02,2022-06-24,-8,False
144,P1,DPBOM000000144,의장,F1,D8,자체 진행,D1,2023-08-30,2023-08-06,-24,False
145,P1,DPBOM000000145,철의장,F2,D5,자체 진행,D3,2021-10-10,2021-09-21,-19,False
146,P1,DPBOM000000146,가공,F2,D2,D5,D3,2022-04-24,2022-04-26,2,True
147,P1,DPBOM000000147,족장,F3,D3,자체 진행,D4,2021-10-23,2021-10-19,-4,False
148,P1,DPBOM000000148,공작,F2,D4,D5,D3,2022-11-28,2022-10-31,-28,False
149,P1,DPBOM000000149,철의장,F2,D5,D5,D3,2023-12-26,2023-12-15,-11,False
150,P1,DPBOM000000150,가공,F2,D2,D5,D3,2021-10-06,2021-09-20,-16,False
151,P1,DPBOM000000151,가공,F2,D2,D5,D3,2021-11-10,2021-11-08,-2,False
152,P1,DPBOM000000152,가공,F2,D2,D5,D3,2022-11-12,2022-11-09,-3,False
153,P1,DPBOM000000153,족장,F3,D3,자체 진행,D4,2024-07-22,2024-06-23,-29,False
154,P1,DPBOM000000154,공작,F2,D4,D5,D3,2022-06-23,2022-05-26,-28,False
155,P1,DPBOM000000155,철의장,F2,D5,D5,D3,2023-12-20,2023-12-19,-1,False
156,P1,DPBOM000000156,가공,F2,D2,D5,D3,2024-08-11,2024-08-08,-3,False
157,P1,DPBOM000000157,가공,F2,D2,D5,D3,2022-06-18,2022-05-31,-18,False
158,P1,DPBOM000000158,족장,F3,D3,자체 진행,D4,2024-06-04,2024-05-24,-11,False
159,P1,DPBOM000000159,공작,F2,D4,D5,D3,2023-01-22,2023-01-13,-9,False
160,P1,DPBOM000000160,가공,F2,D2,D5,D3,2024-07-05,2024-06-14,-21,False
161,P1,DPBOM000000161,가공,F2,D2,D5,D3,2022-02-06,2022-01-08,-29,False
162,P1,DPBOM000000162,족장,F3,D3,자체 진행,D4,2023-08-17,2023-08-01,-16,False
163,P1,DPBOM000000163,공작,F2,D4,D5,D3,2024-04-24,2024-03-29,-26,False
164,P1,DPBOM000000164,철의장,F2,D5,D5,D3,2023-01-14,2022-12-25,-20,False
165,P1,DPBOM000000165,가공,F2,D2,D5,D3,2021-12-04,2021-11-27,-7,False
166,P1,DPBOM000000166,가공,F2,D2,D5,D3,2022-06-16,2022-05-27,-20,False
167,P1,DPBOM000000167,가공,F2,D2,D5,D3,2022-05-16,2022-05-01,-15,False
168,P1,DPBOM000000168,족장,F3,D3,자체 진행,D4,2023-10-09,2023-09-15,-24,False
169,P1,DPBOM000000169,공작,F2,D4,D5,D3,2023-06-11,2023-05-30,-12,False
170,P1,DPBOM000000170,철의장,F2,D5,D5,D3,2023-05-22,2023-04-27,-25,False
171,P1,DPBOM000000171,가공,F2,D2,D5,D3,2023-06-03,2023-06-02,-1,False
172,P1,DPBOM000000172,가공,F2,D2,D5,D3,2023-11-18,2023-11-10,-8,False
173,P1,DPBOM000000173,족장,F3,D3,자체 진행,D4,2021-10-05,2021-09-06,-29,False
174,P1,DPBOM000000174,공작,F2,D4,D5,D3,2023-06-09,2023-06-01,-8,False
175,P1,DPBOM000000175,가공,F2,D2,D5,D3,2023-02-03,2023-01-31,-3,False
176,P1,DPBOM000000176,가공,F2,D2,D5,D3,2023-10-03,2023-09-17,-16,False
177,P1,DPBOM000000177,가공,F2,D2,자체 진행,D3,2023-02-05,2023-01-27,-9,False
178,P1,DPBOM000000178,족장,F3,D3,자체 진행,D4,2023-11-23,2023-11-22,-1,False
179,P1,DPBOM000000179,공작,F2,D4,자체 진행,D3,2022-11-07,2022-10-25,-13,False
180,P1,DPBOM000000180,철의장,F2,D5,자체 진행,D3,2022-07-15,2022-06-28,-17,False
181,P1,DPBOM000000181,가공,F2,D2,자체 진행,D3,2022-03-31,2022-03-12,-19,False
182,P1,DPBOM000000182,가공,F2,D2,자체 진행,D3,2023-01-28,2023-01-05,-23,False
183,P1,DPBOM000000183,족장,F3,D3,자체 진행,D4,2024-08-12,2024-07-31,-12,False
184,P1,DPBOM000000184,공작,F2,D4,자체 진행,D3,2021-10-17,2021-10-13,-4,False
185,P1,DPBOM000000185,철의장,F2,D5,자체 진행,D3,2023-10-23,2023-10-06,-17,False
186,P1,DPBOM000000186,가공,F2,D2,자체 진행,D3,2022-09-08,2022-09-03,-5,False
187,P1,DPBOM000000187,가공,F2,D2,자체 진행,D3,2023-04-05,2023-03-09,-27,False
188,P1,DPBOM000000188,가공,F2,D2,자체 진행,D3,2023-01-21,2022-12-29,-23,False
189,P1,DPBOM000000189,족장,F3,D3,자체 진행,D4,2022-01-13,2021-12-21,-23,False
190,P1,DPBOM000000190,공작,F2,D4,자체 진행,D3,2022-07-17,2022-06-21,-26,False
191,P1,DPBOM000000191,철의장,F2,D5,자체 진행,D3,2021-11-23,2021-11-13,-10,False
192,P1,DPBOM000000192,가공,F2,D2,자체 진행,D3,2023-02-28,2023-02-19,-9,False
193,P1,DPBOM000000193,가공,F2,D2,자체 진행,D3,2024-06-25,2024-05-28,-28,False
194,P1,DPBOM000000194,족장,F3,D3,자체 진행,D4,2022-02-13,2022-01-31,-13,False
195,P1,DPBOM000000195,공작,F2,D4,자체 진행,D3,2023-10-09,2023-10-02,-7,False
196,P1,DPBOM000000196,철의장,F2,D5,자체 진행,D3,2023-01-07,2022-12-24,-14,False
197,P1,DPBOM000000197,가공,F2,D2,자체 진행,D3,2022-07-09,2022-07-06,-3,False
198,P1,DPBOM000000198,가공,F2,D2,자체 진행,D3,2021-12-07,2021-12-05,-2,False
199,P1,DPBOM000000199,가공,F2,D2,자체 진행,D3,2023-07-29,2023-07-19,-10,False
200,P1,DPBOM000000200,족장,F3,D3,자체 진행,D4,2023-11-03,2023-10-16,-18,False
201,P1,DPBOM000000201,공작,F2,D4,자체 진행,D3,2023-06-14,2023-06-10,-4,False
202,P1,DPBOM000000202,철의장,F2,D5,자체 진행,D3,2023-11-24,2023-11-08,-16,False
203,P1,DPBOM000000203,가공,F2,D2,자체 진행,D3,2024-01-26,2024-01-03,-23,False
204,P1,DPBOM000000204,가공,F2,D2,자체 진행,D3,2021-12-24,2021-12-13,-11,False
205,P1,DPBOM000000205,족장,F3,D3,자체 진행,D4,2022-08-30,2022-08-27,-3,False
206,P1,DPBOM000000206,공작,F2,D4,자체 진행,D3,2021-09-06,2021-08-21,-16,False
207,P1,DPBOM000000207,철의장,F2,D5,자체 진행,D3,2023-03-16,2023-02-28,-16,False
208,P1,DPBOM000000208,가공,F2,D2,자체 진행,D3,2023-02-28,2023-02-16,-12,False
209,P1,DPBOM000000209,가공,F2,D2,자체 진행,D3,2022-11-05,2022-10-28,-8,False
210,P1,DPBOM000000210,가공,F2,D2,자체 진행,D3,2023-01-22,2022-12-28,-25,False
211,P1,DPBOM000000211,족장,F3,D3,자체 진행,D4,2022-04-25,2022-04-21,-4,False
212,P1,DPBOM000000212,공작,F2,D4,자체 진행,D3,2023-05-11,2023-04-29,-12,False
213,P1,DPBOM000000213,철의장,F2,D5,자체 진행,D3,2024-01-26,2024-01-06,-20,False
214,P1,DPBOM000000214,가공,F2,D2,자체 진행,D3,2023-02-04,2023-01-13,-22,False
215,P1,DPBOM000000215,가공,F2,D2,D5,D3,2023-11-18,2023-11-14,-4,False
216,P1,DPBOM000000216,족장,F3,D3,자체 진행,D4,2023-11-17,2023-11-16,-1,False
217,P1,DPBOM000000217,의장,F1,D8,자체 진행,D1,2021-12-25,2021-12-05,-20,False
218,P1,DPBOM000000218,공작,F2,D4,D5,D3,2022-10-30,2022-10-11,-19,False
219,P1,DPBOM000000219,철의장,F5,D5,자체 진행,D3,2022-01-26,2022-01-14,-12,False
220,P1,DPBOM000000220,철의장,F2,D5,D5,D3,2023-12-31,2023-12-21,-10,False
221,P1,DPBOM000000221,가공,F2,D2,D5,D3,2022-12-14,2022-12-06,-8,False
222,P1,DPBOM000000222,재마킹,F4,D6,자체 진행,D3,2022-05-04,2022-04-05,-29,False
223,P1,DPBOM000000223,가공,F4,D7,자체 진행,D3,2022-10-20,2022-09-30,-20,False
224,P1,DPBOM000000224,가공,F2,D2,D5,D3,2023-05-08,2023-04-09,-29,False
225,P1,DPBOM000000225,재마킹,F4,D6,자체 진행,D3,2024-04-09,2024-03-27,-13,False
226,P1,DPBOM000000226,가공,F4,D7,자체 진행,D3,2023-04-22,2023-04-03,-19,False
227,P1,DPBOM000000227,재마킹,F4,D6,자체 진행,D3,2023-03-13,2023-03-11,-2,False
228,P1,DPBOM000000228,가공,F4,D7,자체 진행,D3,2024-07-01,2024-06-17,-14,False
229,P1,DPBOM000000229,가공,F2,D2,D5,D3,2022-12-09,2022-12-06,-3,False
230,P1,DPBOM000000230,족장,F3,D3,자체 진행,D4,2022-01-21,2022-01-14,-7,False
231,P1,DPBOM000000231,재마킹,F4,D6,자체 진행,D3,2023-07-16,2023-07-13,-3,False
232,P1,DPBOM000000232,가공,F4,D7,자체 진행,D3,2023-10-15,2023-09-16,-29,False
233,P1,DPBOM000000233,의장,F1,D8,자체 진행,D1,2022-01-10,2022-01-01,-9,False
234,P1,DPBOM000000234,공작,F2,D4,자체 진행,D3,2024-07-04,2024-06-05,-29,False
235,P1,DPBOM000000235,철의장,F2,D5,자체 진행,D3,2022-04-30,2022-04-27,-3,False
236,P1,DPBOM000000236,가공,F2,D2,D5,D3,2023-08-23,2023-07-25,-29,False
237,P1,DPBOM000000237,재마킹,F4,D6,자체 진행,D3,2023-11-30,2023-11-20,-10,False
238,P1,DPBOM000000238,가공,F4,D7,자체 진행,D3,2023-07-19,2023-06-21,-28,False
239,P1,DPBOM000000239,가공,F2,D2,D5,D3,2023-06-15,2023-06-13,-2,False
240,P1,DPBOM000000240,가공,F2,D2,D5,D3,2022-07-17,2022-06-26,-21,False
241,P1,DPBOM000000241,가공,F2,D2,D5,D3,2024-04-26,2024-04-10,-16,False
242,P1,DPBOM000000242,재마킹,F4,D6,자체 진행,D3,2023-11-10,2023-11-05,-5,False
243,P1,DPBOM000000243,가공,F4,D7,자체 진행,D3,2024-01-10,2023-12-26,-15,False
244,P1,DPBOM000000244,가공,F2,D2,D5,D3,2023-04-30,2023-04-08,-22,False
245,P1,DPBOM000000245,재마킹,F4,D6,자체 진행,D3,2022-10-25,2022-09-30,-25,False
246,P1,DPBOM000000246,가공,F4,D7,자체 진행,D3,2023-11-10,2023-10-15,-26,False
247,P1,DPBOM000000247,가공,F2,D2,D5,D3,2021-11-13,2021-10-18,-26,False
248,P1,DPBOM000000248,가공,F2,D2,D5,D3,2023-11-10,2023-10-27,-14,False
249,P1,DPBOM000000249,의장,F1,D8,자체 진행,D1,2024-02-10,2024-01-18,-23,False
250,P1,DPBOM000000250,공작,F2,D4,D5,D3,2023-01-25,2023-01-11,-14,False
251,P1,DPBOM000000251,철의장,F2,D5,D5,D3,2022-05-10,2022-04-15,-25,False
252,P1,DPBOM000000252,가공,F2,D2,D5,D3,2022-06-13,2022-06-04,-9,False
253,P1,DPBOM000000253,재마킹,F4,D6,자체 진행,D3,2022-12-17,2022-11-24,-23,False
254,P1,DPBOM000000254,가공,F4,D7,자체 진행,D3,2022-05-26,2022-05-11,-15,False
255,P1,DPBOM000000255,가공,F2,D2,D5,D3,2023-09-10,2023-08-26,-15,False
256,P1,DPBOM000000256,재마킹,F4,D6,자체 진행,D3,2024-07-16,2024-07-13,-3,False
257,P1,DPBOM000000257,가공,F4,D7,자체 진행,D3,2022-09-11,2022-08-22,-20,False
258,P1,DPBOM000000258,재마킹,F4,D6,자체 진행,D3,2023-12-26,2023-12-06,-20,False
259,P1,DPBOM000000259,가공,F4,D7,자체 진행,D3,2024-02-05,2024-01-08,-28,False
260,P1,DPBOM000000260,가공,F2,D2,D5,D3,2023-11-27,2023-11-15,-12,False
261,P1,DPBOM000000261,족장,F3,D3,자체 진행,D4,2022-08-06,2022-07-09,-28,False
262,P1,DPBOM000000262,재마킹,F4,D6,자체 진행,D3,2024-01-14,2023-12-20,-25,False
263,P1,DPBOM000000263,가공,F4,D7,자체 진행,D3,2024-04-03,2024-03-20,-14,False
264,P1,DPBOM000000264,의장,F1,D8,자체 진행,D1,2024-05-11,2024-04-23,-18,False
265,P1,DPBOM000000265,공작,F2,D4,D5,D3,2023-02-21,2023-02-09,-12,False
266,P1,DPBOM000000266,철의장,F2,D5,D5,D3,2021-11-14,2021-11-02,-12,False
267,P1,DPBOM000000267,가공,F2,D2,D5,D3,2021-11-04,2021-10-25,-10,False
268,P1,DPBOM000000268,가공,F2,D2,D5,D3,2022-05-06,2022-05-03,-3,False
269,P1,DPBOM000000269,가공,F2,D2,D5,D3,2023-06-08,2023-05-14,-25,False
270,P1,DPBOM000000270,공작,F2,D4,D5,D3,2024-08-09,2024-07-25,-15,False
271,P1,DPBOM000000271,철의장,F2,D5,D5,D3,2022-10-26,2022-10-05,-21,False
272,P1,DPBOM000000272,가공,F2,D2,D5,D3,2022-03-08,2022-03-01,-7,False
273,P1,DPBOM000000273,재마킹,F4,D6,자체 진행,D3,2022-09-27,2022-09-15,-12,False
274,P1,DPBOM000000274,가공,F4,D7,자체 진행,D3,2023-01-22,2023-01-04,-18,False
275,P1,DPBOM000000275,가공,F2,D2,D5,D3,2023-06-21,2023-06-10,-11,False
