No,D/P&BOM 코드,D/P&BOM 내역,설계기능,협력사,직영책임부서,최종 출도가능일자,출도실적,일정 차이,일정 준수 여부
34,DPBOM000000034,의장(설치),F2,자체 진행,D4,2022-06-07,2022-05-14,-24,False
35,DPBOM000000035,의장(설치),F2,자체 진행,D4,2023-01-20,2023-01-06,-14,False
36,DPBOM000000036,의장(설치),F2,자체 진행,D4,2023-02-08,2023-01-26,-13,False
37,DPBOM000000037,의장(설치),F2,자체 진행,D4,2021-12-29,2021-11-30,-29,False
38,DPBOM000000038,제작,F2,자체 진행,D4,2022-07-19,2022-06-20,-29,False
39,DPBOM000000039,Supp 제작,F2,자체 진행,D4,2022-02-07,2022-01-11,-27,False
40,DPBOM000000040,의장(설치),F1,자체 진행,D3,2023-07-05,2023-06-23,-12,False
41,DPBOM000000041,계획,F3,자체 진행,D5,2022-02-16,2022-02-07,-9,False
42,DPBOM000000042,제작,F2,자체 진행,D4,2024-06-13,2024-06-08,-5,False
43,DPBOM000000043,Supp 제작,F2,자체 진행,D4,2024-03-04,2024-02-12,-21,False
44,DPBOM000000044,제작,F2,자체 진행,D4,2023-04-29,2023-04-18,-11,False
45,DPBOM000000045,Supp 제작,F2,자체 진행,D4,2021-09-27,2021-09-14,-13,False
46,DPBOM000000046,제작,F2,자체 진행,D4,2022-10-10,2022-09-23,-17,False
47,DPBOM000000047,Supp 제작,F2,자체 진행,D4,2022-06-27,2022-05-31,-27,False
48,DPBOM000000048,제작,F2,자체 진행,D4,2023-01-11,2022-12-30,-12,False
49,DPBOM000000049,Supp 제작,F2,자체 진행,D4,2023-03-01,2023-02-15,-14,False
50,DPBOM000000050,제작,F2,자체 진행,D4,2023-08-26,2023-08-05,-21,False
51,DPBOM000000051,Supp 제작,F2,자체 진행,D4,2023-02-13,2023-01-30,-14,False
52,DPBOM000000052,계획,F4,자체 진행,D6,2024-06-19,2024-06-11,-8,False
53,DPBOM000000053,계획,F1,자체 진행,D3,2024-08-31,2024-08-06,-25,False
54,DPBOM000000054,제작,F3,자체 진행,D5,2022-10-08,2022-09-12,-26,False
55,DPBOM000000055,Supp 제작,F3,자체 진행,D5,2023-02-23,2023-01-26,-28,False
56,DPBOM000000056,제작,F3,자체 진행,D5,2023-12-24,2023-12-10,-14,False
57,DPBOM000000057,Supp 제작,F3,자체 진행,D5,2022-07-27,2022-07-06,-21,False
58,DPBOM000000058,제작,F3,자체 진행,D5,2023-07-07,2023-06-29,-8,False
59,DPBOM000000059,의장(설치),F2,자체 진행,D4,2022-06-17,2022-05-20,-28,False
60,DPBOM000000060,의장,F5,자체 진행,D7,2023-11-05,2023-10-22,-14,False
61,DPBOM000000061,계획,F5,자체 진행,D7,2024-06-03,2024-05-14,-20,False
62,DPBOM000000062,Supp 제작,F3,자체 진행,D5,2024-07-22,2024-08-07,16,True
63,DPBOM000000063,철의장,F4,자체 진행,D6,2023-12-29,2023-12-04,-25,False
64,DPBOM000000064,철의장,F1,자체 진행,D3,2023-03-28,2023-03-12,-16,False
65,DPBOM000000065,계획,F1,자체 진행,D3,2024-07-15,2024-06-19,-26,False
66,DPBOM000000066,제작,F3,자체 진행,D5,2023-01-09,2022-12-28,-12,False
67,DPBOM000000067,Supp 제작,F3,자체 진행,D5,2021-09-20,2021-08-26,-25,False
68,DPBOM000000068,제작,F3,자체 진행,D5,2023-03-09,2023-02-21,-16,False
69,DPBOM000000069,Supp 제작,F3,자체 진행,D5,2022-09-06,2022-09-05,-1,False
70,DPBOM000000070,Supp 제작,F3,자체 진행,D5,2024-02-04,2024-01-19,-16,False
71,DPBOM000000071,의장(설치),F2,자체 진행,D4,2023-04-06,2023-03-25,-12,False
72,DPBOM000000072,의장(설치),F2,자체 진행,D4,2022-02-20,2022-01-24,-27,False
73,DPBOM000000073,의장(설치),F2,자체 진행,D4,2023-06-17,2023-05-28,-20,False
74,DPBOM000000074,의장(설치),F2,자체 진행,D4,2023-08-22,2023-07-30,-23,False
75,DPBOM000000075,철의장,F1,자체 진행,D3,2022-03-19,2022-03-16,-3,False
76,DPBOM000000076,목의,F6,자체 진행,D8,2022-10-10,2022-10-08,-2,False
77,DPBOM000000077,계획,F1,자체 진행,D3,2023-07-04,2023-06-08,-26,False
78,DPBOM000000078,의장(설치),F3,자체 진행,D5,2023-11-26,2023-11-04,-22,False
79,DPBOM000000079,의장(설치),F3,자체 진행,D5,2021-09-15,2021-08-31,-15,False
80,DPBOM000000080,의장(설치),F3,자체 진행,D5,2022-05-20,2022-05-03,-17,False
81,DPBOM000000081,계획,F4,자체 진행,D6,2022-09-12,2022-09-05,-7,False
82,DPBOM000000082,계획,F5,자체 진행,D7,2024-05-21,2024-05-01,-20,False
83,DPBOM000000083,계획,F4,자체 진행,D6,2024-02-11,2024-01-25,-17,False
84,DPBOM000000084,계획,F3,자체 진행,D5,2024-02-11,2024-02-04,-7,False
85,DPBOM000000085,의장(설치),F3,자체 진행,D5,2024-02-24,2024-02-18,-6,False
86,DPBOM000000086,계획,F3,자체 진행,D5,2024-05-11,2024-04-26,-15,False
87,DPBOM000000087,제작,F2,D1,D4,2021-12-11,2021-12-01,-10,False
88,DPBOM000000088,Supp 제작,F2,D1,D4,2023-12-06,2023-11-30,-6,False
89,DPBOM000000089,계획,F5,자체 진행,D7,2023-05-10,2023-04-29,-11,False
90,DPBOM000000090,계획,F4,자체 진행,D6,2022-10-07,2022-09-24,-13,False
91,DPBOM000000091,계획,F5,자체 진행,D7,2021-10-15,2021-09-24,-21,False
92,DPBOM000000092,계획,F4,자체 진행,D6,2022-03-16,2022-03-05,-11,False
93,DPBOM000000093,계획,F5,자체 진행,D7,2023-03-16,2023-03-10,-6,False
94,DPBOM000000094,계획,F4,자체 진행,D6,2023-12-01,2023-11-30,-1,False
95,DPBOM000000095,계획,F1,자체 진행,D3,2022-04-03,2022-03-06,-28,False
96,DPBOM000000096,계획,F1,자체 진행,D3,2022-07-22,2022-07-10,-12,False
97,DPBOM000000097,제작,F2,D1,D4,2023-07-26,2023-07-09,-17,False
98,DPBOM000000098,Supp 제작,F2,D1,D4,2023-08-12,2023-08-11,-1,False
99,DPBOM000000099,제작,F2,D1,D4,2023-04-16,2023-04-06,-10,False
100,DPBOM000000100,Supp 제작,F2,D1,D4,2022-04-29,2022-03-31,-29,False
101,DPBOM000000101,의장(설치),F3,자체 진행,D5,2024-05-05,2024-04-25,-10,False
102,DPBOM000000102,의장(설치),F3,자체 진행,D5,2022-08-15,2022-07-28,-18,False
103,DPBOM000000103,계획,F5,자체 진행,D7,2022-10-14,2022-09-22,-22,False
104,DPBOM000000104,계획,F3,자체 진행,D5,2023-06-27,2023-06-06,-21,False
105,DPBOM000000105,계획,F4,자체 진행,D6,2021-09-20,2021-08-22,-29,False
106,DPBOM000000106,계획,F3,자체 진행,D5,2023-08-20,2023-07-24,-27,False
107,DPBOM000000107,계획,F2,자체 진행,D4,2023-03-15,2023-02-25,-18,False
108,DPBOM000000108,계획,F4,자체 진행,D6,2023-09-07,2023-08-21,-17,False
109,DPBOM000000109,계획,F3,자체 진행,D5,2022-02-27,2022-02-19,-8,False
110,DPBOM000000110,철의장,F6,자체 진행,D8,2023-08-26,2023-08-15,-11,False
111,DPBOM000000111,철의장,F4,자체 진행,D6,2024-08-17,2024-09-02,16,True
112,DPBOM000000112,제작,F2,자체 진행,D4,2022-04-11,2022-04-07,-4,False
113,DPBOM000000113,Supp 제작,F2,자체 진행,D4,2023-04-26,2023-04-09,-17,False
114,DPBOM000000114,철의장,F1,자체 진행,D3,2021-10-11,2021-10-06,-5,False
115,DPBOM000000115,제작,F2,자체 진행,D4,2024-08-19,2024-07-24,-26,False
116,DPBOM000000116,Supp 제작,F2,자체 진행,D4,2022-08-02,2022-07-10,-23,False
117,DPBOM000000117,철의장,F1,자체 진행,D3,2021-10-23,2021-09-28,-25,False
118,DPBOM000000118,계획,F1,자체 진행,D3,2022-05-06,2022-04-16,-20,False
119,DPBOM000000119,철의장,F1,자체 진행,D3,2023-07-03,2023-06-07,-26,False
120,DPBOM000000120,제작,F3,자체 진행,D5,2022-01-01,2021-12-31,-1,False
121,DPBOM000000121,Supp 제작,F3,자체 진행,D5,2023-04-17,2023-04-10,-7,False
122,DPBOM000000122,철의장,F4,자체 진행,D6,2023-04-12,2023-04-04,-8,False
123,DPBOM000000123,계획,F1,자체 진행,D3,2023-08-03,2023-07-14,-20,False
124,DPBOM000000124,철의장,F6,자체 진행,D8,2023-09-06,2023-09-04,-2,False
125,DPBOM000000125,철의장,F4,자체 진행,D6,2022-06-20,2022-06-17,-3,False
126,DPBOM000000126,철의장,F4,자체 진행,D6,2021-09-01,2021-08-13,-19,False
127,DPBOM000000127,철의장,F4,자체 진행,D6,2023-07-16,2023-07-13,-3,False
128,DPBOM000000128,철의장,F4,자체 진행,D6,2023-05-22,2023-05-14,-8,False
129,DPBOM000000129,철의장,F7,자체 진행,D4,2022-10-28,2022-10-07,-21,False
130,DPBOM000000130,제작,F3,자체 진행,D5,2022-04-20,2022-04-19,-1,False
131,DPBOM000000131,제작,F3,자체 진행,D5,2021-10-03,2021-09-06,-27,False
132,DPBOM000000132,제작,F3,자체 진행,D5,2023-11-13,2023-10-26,-18,False
133,DPBOM000000133,Supp 제작,F3,자체 진행,D5,2024-03-29,2024-03-06,-23,False
134,DPBOM000000134,계획,F5,자체 진행,D7,2022-05-15,2022-04-27,-18,False
135,DPBOM000000135,계획,F5,자체 진행,D7,2023-01-22,2022-12-27,-26,False
136,DPBOM000000136,계획,F1,자체 진행,D3,2022-06-28,2022-06-24,-4,False
137,DPBOM000000137,의장,F1,자체 진행,D3,2023-09-27,2023-09-17,-10,False
138,DPBOM000000138,의장,F1,자체 진행,D3,2024-08-27,2024-08-01,-26,False
139,DPBOM000000139,제작,F3,자체 진행,D5,2023-07-01,2023-06-27,-4,False
140,DPBOM000000140,Supp 제작,F3,자체 진행,D5,2023-01-23,2023-01-21,-2,False
141,DPBOM000000141,철의장,F7,자체 진행,D4,2021-10-15,2021-10-08,-7,False
142,DPBOM000000142,철의장,F4,자체 진행,D6,2023-12-01,2023-11-14,-17,False
143,DPBOM000000143,철의장,F1,자체 진행,D3,2024-02-10,2024-01-15,-26,False
144,DPBOM000000144,계획,F1,자체 진행,D3,2021-12-08,2021-11-17,-21,False
145,DPBOM000000145,제작,F3,자체 진행,D5,2022-06-09,2022-05-26,-14,False
146,DPBOM000000146,Supp 제작,F3,자체 진행,D5,2024-05-08,2024-04-23,-15,False
147,DPBOM000000147,철의장,F4,자체 진행,D6,2024-01-26,2024-01-08,-18,False
148,DPBOM000000148,제작,F2,D1,D4,2022-07-02,2022-06-09,-23,False
149,DPBOM000000149,Supp 제작,F2,D1,D4,2022-04-03,2022-03-22,-12,False
150,DPBOM000000150,제작,F2,자체 진행,D4,2023-07-15,2023-07-01,-14,False
151,DPBOM000000151,Supp 제작,F2,자체 진행,D4,2023-04-23,2023-04-27,4,True
152,DPBOM000000152,제작,F2,자체 진행,D4,2023-05-05,2023-04-27,-8,False
153,DPBOM000000153,Supp 제작,F2,자체 진행,D4,2022-04-08,2022-03-21,-18,False
154,DPBOM000000154,철의장,F8,자체 진행,D5,2024-03-11,2024-02-20,-20,False
155,DPBOM000000155,철의장,F5,자체 진행,D7,2021-10-31,2021-10-25,-6,False
156,DPBOM000000156,제작,F2,자체 진행,D4,2021-09-12,2021-08-17,-26,False
157,DPBOM000000157,제작,F3,자체 진행,D5,2022-06-13,2022-05-23,-21,False
158,DPBOM000000158,Supp 제작,F2,자체 진행,D4,2022-08-12,2022-08-11,-1,False
159,DPBOM000000159,철의장,F1,자체 진행,D3,2023-07-05,2023-06-24,-11,False
160,DPBOM000000160,의장(설치),F2,자체 진행,D4,2024-03-01,2024-02-17,-13,False
161,DPBOM000000161,의장(설치),F2,자체 진행,D4,2021-10-04,2021-09-06,-28,False
162,DPBOM000000162,의장,F1,자체 진행,D3,2024-04-18,2024-03-20,-29,False
163,DPBOM000000163,의장(설치),F1,자체 진행,D3,2023-04-15,2023-03-28,-18,False
164,DPBOM000000164,의장(설치),F3,자체 진행,D5,2023-11-28,2023-11-01,-27,False
165,DPBOM000000165,제작,F2,D1,D4,2022-01-31,2022-01-10,-21,False
166,DPBOM000000166,Supp 제작,F2,D1,D4,2024-08-01,2024-07-26,-6,False
167,DPBOM000000167,철의장,F7,자체 진행,D4,2021-12-21,2021-12-12,-9,False
168,DPBOM000000168,철의장,F5,자체 진행,D7,2023-06-27,2023-06-02,-25,False
169,DPBOM000000169,제작,F2,자체 진행,D4,2023-05-15,2023-04-16,-29,False
170,DPBOM000000170,제작,F2,자체 진행,D4,2024-05-29,2024-05-04,-25,False
171,DPBOM000000171,Supp 제작,F2,자체 진행,D4,2022-07-19,2022-06-23,-26,False
172,DPBOM000000172,제작,F2,자체 진행,D4,2023-08-02,2023-07-13,-20,False
173,DPBOM000000173,Supp 제작,F2,자체 진행,D4,2024-08-14,2024-07-21,-24,False
174,DPBOM000000174,철의장,F8,자체 진행,D5,2023-11-22,2023-11-12,-10,False
175,DPBOM000000175,철의장,F5,자체 진행,D7,2022-02-25,2022-02-23,-2,False
176,DPBOM000000176,제작,F3,자체 진행,D5,2023-11-12,2023-10-15,-28,False
177,DPBOM000000177,제작,F3,자체 진행,D5,2024-08-25,2024-07-29,-27,False
178,DPBOM000000178,제작,F3,자체 진행,D5,2022-01-02,2021-12-21,-12,False
179,DPBOM000000179,철의장,F4,자체 진행,D6,2024-08-10,2024-08-09,-1,False
180,DPBOM000000180,철의장,F1,자체 진행,D3,2023-01-21,2023-01-11,-10,False
181,DPBOM000000181,철의장,F1,자체 진행,D3,2024-03-06,2024-02-18,-17,False
182,DPBOM000000182,철의장,F1,자체 진행,D3,2023-03-16,2023-03-02,-14,False
183,DPBOM000000183,철의장,F1,자체 진행,D3,2023-12-06,2023-11-22,-14,False
184,DPBOM000000184,계획,F1,자체 진행,D3,2024-06-07,2024-05-16,-22,False
185,DPBOM000000185,제작,F3,자체 진행,D5,2022-03-05,2022-02-15,-18,False
186,DPBOM000000186,제작,F3,자체 진행,D5,2024-04-19,2024-03-31,-19,False
187,DPBOM000000187,철의장,F7,자체 진행,D4,2022-06-23,2022-06-07,-16,False
188,DPBOM000000188,철의장,F5,자체 진행,D7,2023-06-14,2023-06-07,-7,False
189,DPBOM000000189,제작,F2,자체 진행,D4,2021-11-26,2021-11-05,-21,False
190,DPBOM000000190,의장(설치),F3,자체 진행,D5,2021-12-06,2021-11-30,-6,False
191,DPBOM000000191,의장(설치),F3,자체 진행,D5,2023-03-10,2023-02-17,-21,False
192,DPBOM000000192,의장(설치),F3,자체 진행,D5,2022-05-01,2022-05-28,27,True
193,DPBOM000000193,제작,F3,자체 진행,D5,2022-02-16,2022-01-23,-24,False
194,DPBOM000000194,Supp 제작,F3,자체 진행,D5,2023-08-08,2023-07-20,-19,False
195,DPBOM000000195,철의장,F1,자체 진행,D3,2022-04-13,2022-03-17,-27,False
196,DPBOM000000196,철의장,F7,자체 진행,D4,2022-02-10,2022-01-26,-15,False
197,DPBOM000000197,제작,F2,자체 진행,D4,2022-08-24,2022-08-13,-11,False
198,DPBOM000000198,Supp 제작,F2,자체 진행,D4,2024-06-20,2024-05-26,-25,False
199,DPBOM000000199,철의장,F1,자체 진행,D3,2022-03-10,2022-02-09,-29,False
200,DPBOM000000200,제작,F2,자체 진행,D4,2022-05-03,2022-05-24,21,True
201,DPBOM000000201,Supp 제작,F2,자체 진행,D4,2021-12-15,2021-12-12,-3,False
202,DPBOM000000202,제작,F2,자체 진행,D4,2023-07-12,2023-07-02,-10,False
203,DPBOM000000203,Supp 제작,F2,자체 진행,D4,2021-09-19,2021-08-28,-22,False
204,DPBOM000000204,의장(설치),F3,자체 진행,D5,2021-11-17,2021-10-26,-22,False
205,DPBOM000000205,제작,F3,자체 진행,D5,2024-06-02,2024-05-17,-16,False
206,DPBOM000000206,제작,F3,자체 진행,D5,2022-08-13,2022-07-15,-29,False
207,DPBOM000000207,제작,F3,자체 진행,D5,2022-11-04,2022-10-08,-27,False
208,DPBOM000000208,제작,F3,자체 진행,D5,2022-06-08,2022-05-14,-25,False
209,DPBOM000000209,제작,F3,자체 진행,D5,2023-10-15,2023-09-16,-29,False
210,DPBOM000000210,Supp 제작,F3,자체 진행,D5,2023-02-20,2023-01-30,-21,False
211,DPBOM000000211,제작,F3,자체 진행,D5,2021-10-11,2021-09-30,-11,False
212,DPBOM000000212,Supp 제작,F3,자체 진행,D5,2023-11-20,2023-11-02,-18,False
213,DPBOM000000213,제작,F3,자체 진행,D5,2023-11-13,2023-11-02,-11,False
214,DPBOM000000214,Supp 제작,F3,자체 진행,D5,2022-02-19,2022-02-07,-12,False
215,DPBOM000000215,계획,F5,자체 진행,D7,2023-08-22,2023-07-29,-24,False
216,DPBOM000000216,계획,F1,자체 진행,D3,2023-12-03,2023-11-12,-21,False
217,DPBOM000000217,철의장,F1,자체 진행,D3,2022-09-26,2022-09-05,-21,False
218,DPBOM000000218,제작,F2,D1,D4,2021-10-03,2021-10-01,-2,False
219,DPBOM000000219,Supp 제작,F2,D1,D4,2021-11-23,2021-11-05,-18,False
220,DPBOM000000220,의장(설치),F3,자체 진행,D5,2022-03-03,2022-02-08,-23,False
221,DPBOM000000221,제작,F3,자체 진행,D5,2023-04-08,2023-03-25,-14,False
222,DPBOM000000222,제작,F3,자체 진행,D5,2022-09-07,2022-09-06,-1,False
223,DPBOM000000223,제작,F3,자체 진행,D5,2024-01-04,2023-12-17,-18,False
224,DPBOM000000224,제작,F2,자체 진행,D4,2023-12-20,2023-12-16,-4,False
225,DPBOM000000225,Supp 제작,F2,D1,D4,2023-07-01,2023-06-19,-12,False
226,DPBOM000000226,제작,F2,D1,D4,2022-02-02,2022-01-18,-15,False
227,DPBOM000000227,Supp 제작,F2,D1,D4,2023-11-23,2023-11-04,-19,False
228,DPBOM000000228,철의장,F7,자체 진행,D4,2021-11-10,2021-10-30,-11,False
229,DPBOM000000229,철의장,F7,자체 진행,D4,2022-11-28,2022-11-06,-22,False
230,DPBOM000000230,철의장,F7,자체 진행,D4,2023-03-05,2023-03-02,-3,False
231,DPBOM000000231,의장(설치),F8,자체 진행,D5,2023-04-11,2023-03-30,-12,False
232,DPBOM000000232,의장(설치),F3,자체 진행,D5,2022-03-10,2022-02-25,-13,False
233,DPBOM000000233,철의장,F7,자체 진행,D4,2023-02-27,2023-02-08,-19,False
234,DPBOM000000234,제작,F2,자체 진행,D4,2022-10-30,2022-10-27,-3,False
235,DPBOM000000235,Supp 제작,F2,자체 진행,D4,2022-03-23,2022-03-21,-2,False
236,DPBOM000000236,철의장,F1,자체 진행,D3,2023-02-22,2023-02-19,-3,False
237,DPBOM000000237,철의장,F1,자체 진행,D3,2023-02-06,2023-01-12,-25,False
238,DPBOM000000238,철의장,F7,자체 진행,D4,2024-03-30,2024-03-02,-28,False
239,DPBOM000000239,제작,F2,D1,D4,2022-05-02,2022-04-15,-17,False
240,DPBOM000000240,Supp 제작,F2,D1,D4,2024-05-03,2024-04-26,-7,False
241,DPBOM000000241,철의장,F1,자체 진행,D3,2022-10-19,2022-10-10,-9,False
242,DPBOM000000242,철의장,F7,자체 진행,D4,2021-10-10,2021-10-08,-2,False
243,DPBOM000000243,계획,F1,자체 진행,D3,2023-04-05,2023-03-17,-19,False
244,DPBOM000000244,계획,F9,자체 진행,D8,2023-10-29,2023-10-03,-26,False
245,DPBOM000000245,계획,F1,자체 진행,D3,2023-03-30,2023-03-17,-13,False
246,DPBOM000000246,철의장,F1,자체 진행,D3,2024-05-06,2024-05-05,-1,False
247,DPBOM000000247,제작,F3,자체 진행,D5,2022-07-12,2022-07-07,-5,False
248,DPBOM000000248,제작,F3,자체 진행,D5,2022-03-23,2022-03-22,-1,False
249,DPBOM000000249,철의장,F7,자체 진행,D4,2023-08-23,2023-08-21,-2,False
250,DPBOM000000250,철의장,F7,자체 진행,D4,2024-01-25,2024-01-12,-13,False
251,DPBOM000000251,제작,F2,D1,D4,2022-05-02,2022-06-12,41,True
252,DPBOM000000252,Supp 제작,F2,D1,D4,2022-01-02,2021-12-13,-20,False
253,DPBOM000000253,제작,F3,자체 진행,D5,2022-03-13,2022-02-21,-20,False
254,DPBOM000000254,철의장,F8,자체 진행,D5,2021-10-01,2021-09-22,-9,False
255,DPBOM000000255,철의장,F5,자체 진행,D7,2024-04-06,2024-04-01,-5,False
256,DPBOM000000256,철의장,F5,자체 진행,D7,2021-11-19,2021-10-31,-19,False
257,DPBOM000000257,제작,F3,자체 진행,D5,2022-07-05,2022-06-08,-27,False
258,DPBOM000000258,Supp 제작,F3,자체 진행,D5,2023-09-01,2023-08-13,-19,False
259,DPBOM000000259,제작,F2,자체 진행,D4,2024-05-02,2024-04-03,-29,False
260,DPBOM000000260,제작,F3,자체 진행,D5,2022-10-05,2022-10-01,-4,False
261,DPBOM000000261,제작,F2,자체 진행,D4,2022-08-26,2022-08-02,-24,False
262,DPBOM000000262,Supp 제작,F2,자체 진행,D4,2022-07-13,2022-06-22,-21,False
263,DPBOM000000263,Supp 제작,F2,자체 진행,D4,2023-05-13,2023-05-04,-9,False
264,DPBOM000000264,철의장,F4,자체 진행,D6,2024-06-29,2024-06-18,-11,False
265,DPBOM000000265,철의장,F8,자체 진행,D5,2022-11-03,2022-10-14,-20,False
266,DPBOM000000266,철의장,F5,자체 진행,D7,2024-07-25,2024-07-21,-4,False
267,DPBOM000000267,철의장,F5,자체 진행,D7,2023-02-19,2023-02-11,-8,False
268,DPBOM000000268,제작,F3,자체 진행,D5,2022-12-13,2022-12-01,-12,False
269,DPBOM000000269,Supp 제작,F3,자체 진행,D5,2024-07-28,2024-07-07,-21,False
270,DPBOM000000270,제작,F2,자체 진행,D4,2022-11-25,2022-11-29,4,True
271,DPBOM000000271,제작,F3,자체 진행,D5,2023-04-01,2023-03-07,-25,False
272,DPBOM000000272,제작,F2,자체 진행,D4,2023-01-04,2022-12-22,-13,False
273,DPBOM000000273,Supp 제작,F2,자체 진행,D4,2024-01-15,2023-12-27,-19,False
274,DPBOM000000274,Supp 제작,F2,자체 진행,D4,2022-12-30,2022-12-15,-15,False
275,DPBOM000000275,철의장,F1,자체 진행,D3,2024-01-26,2024-01-04,-22,False
276,DPBOM000000276,철의장,F4,자체 진행,D6,2022-02-13,2022-01-15,-29,False
277,DPBOM000000277,계획,F9,자체 진행,D8,2024-07-03,2024-06-06,-27,False
278,DPBOM000000278,제작,F3,자체 진행,D5,2022-04-14,2022-04-04,-10,False
279,DPBOM000000279,제작,F3,자체 진행,D5,2023-09-16,2023-08-23,-24,False
280,DPBOM000000280,제작,F3,자체 진행,D5,2023-01-23,2023-01-14,-9,False
281,DPBOM000000281,철의장,F1,자체 진행,D3,2024-05-13,2024-04-23,-20,False
282,DPBOM000000282,철의장,F1,자체 진행,D3,2024-02-17,2024-01-21,-27,False
283,DPBOM000000283,계획,F1,자체 진행,D3,2024-07-30,2024-07-19,-11,False
284,DPBOM000000284,제작,F2,자체 진행,D4,2022-01-13,2022-01-12,-1,False
285,DPBOM000000285,Supp 제작,F2,자체 진행,D4,2023-10-06,2023-09-10,-26,False
286,DPBOM000000286,제작,F2,자체 진행,D4,2022-05-12,2022-04-19,-23,False
287,DPBOM000000287,Supp 제작,F2,자체 진행,D4,2023-10-29,2023-10-06,-23,False
288,DPBOM000000288,제작,F3,자체 진행,D5,2022-06-26,2022-06-13,-13,False
289,DPBOM000000289,Supp 제작,F3,자체 진행,D5,2023-10-19,2023-10-12,-7,False
290,DPBOM000000290,제작,F2,자체 진행,D4,2022-08-11,2022-07-14,-28,False
291,DPBOM000000291,Supp 제작,F2,자체 진행,D4,2023-09-21,2023-08-25,-27,False
292,DPBOM000000292,철의장,F7,자체 진행,D4,2022-10-16,2022-09-19,-27,False
293,DPBOM000000293,제작,F2,자체 진행,D4,2023-07-18,2023-09-01,45,True
294,DPBOM000000294,Supp 제작,F2,자체 진행,D4,2023-05-14,2023-04-15,-29,False
295,DPBOM000000295,철의장,F1,자체 진행,D3,2021-12-29,2021-12-19,-10,False
296,DPBOM000000296,계획,F1,자체 진행,D3,2022-05-16,2022-05-03,-13,False
297,DPBOM000000297,계획,F9,자체 진행,D8,2021-12-31,2021-12-05,-26,False
298,DPBOM000000298,계획,F1,자체 진행,D3,2024-06-18,2024-06-17,-1,False
299,DPBOM000000299,계획,F1,자체 진행,D3,2024-08-06,2024-07-30,-7,False
300,DPBOM000000300,제작,F2,D1,D4,2023-04-10,2023-04-04,-6,False
