날짜,공정명,세부공정명,Vessel ID,계획 진도율(%),실제 진도율(%),작업인원(명),가동시간(시간),비가동시간(시간),특이사항
2024-08-02,설계,기본 설계,FLNG-240904,0.0,20.0,26,23,2,규제 기관의 검토 및 승인 지연
2024-08-05,설계,기본 설계,FLNG-240904,20.0,85.0,32,5,0,없음
2024-08-09,설계,기본 설계,FLNG-240904,85.0,100.0,25,7,3,없음
2024-08-11,설계,상세 설계,FLNG-240904,20.0,6.0,9,4,1,없음
2024-08-14,설계,상세 설계,FLNG-240904,20.0,6.0,9,13,3,없음
2024-08-21,설계,상세 설계,FLNG-240904,20.0,86.0,32,20,3,없음
2024-08-29,설계,상세 설계,FLNG-240904,86.0,100.0,41,12,2,없음
2024-08-30,자재 준비 및 가공,강판 절단,FLNG-240904,35.0,35.0,48,13,3,없음
2024-08-01,설계,기본 설계,FLNG-240905,40.0,35.0,6,15,4,설계 변경으로 인한 일부 작업 지연
2024-08-03,설계,기본 설계,FLNG-240905,40.0,100.0,10,6,1,없음
2024-08-04,설계,상세 설계,FLNG-240905,80.0,80.0,39,13,2,없음
2024-08-06,설계,상세 설계,FLNG-240905,80.0,100.0,45,23,2,없음
2024-08-18,자재 준비 및 가공,가공,FLNG-240905,0.0,0.0,28,16,0,자재 일부 지연 입고
2024-08-20,자재 준비 및 가공,가공,FLNG-240905,0.0,25.0,15,3,0,없음
2024-08-21,자재 준비 및 가공,가공,FLNG-240905,25.0,85.0,47,20,0,자재 일부 지연 입고
2024-08-22,자재 준비 및 가공,가공,FLNG-240905,85.0,100.0,7,1,1,없음
2024-08-12,자재 준비 및 가공,강판 절단,FLNG-240905,10.0,10.0,42,9,3,없음
2024-08-14,자재 준비 및 가공,강판 절단,FLNG-240905,10.0,100.0,23,23,4,없음
2024-08-23,조립,소조립,FLNG-240905,70.0,62.0,18,4,4,없음
2024-08-24,조립,소조립,FLNG-240905,70.0,100.0,17,6,1,없음
2024-08-26,조립,중조립,FLNG-240905,40.0,35.0,48,13,3,없음
2024-08-29,조립,중조립,FLNG-240905,40.0,100.0,11,15,2,"장비 일시 고장, 수리 완료"
2024-08-05,설계,기본 설계,FLNG-240906,80.0,74.0,20,21,2,없음
2024-08-06,설계,기본 설계,FLNG-240906,80.0,100.0,44,21,2,없음
2024-08-09,설계,상세 설계,FLNG-240906,100.0,100.0,14,8,2,없음
2024-08-29,자재 준비 및 가공,가공,FLNG-240906,100.0,100.0,23,8,2,없음
2024-08-16,자재 준비 및 가공,강판 절단,FLNG-240906,40.0,32.0,10,9,1,없음
2024-08-17,자재 준비 및 가공,강판 절단,FLNG-240906,40.0,42.0,42,1,0,없음
2024-08-25,자재 준비 및 가공,강판 절단,FLNG-240906,42.0,47.0,49,16,3,없음
2024-08-28,자재 준비 및 가공,강판 절단,FLNG-240906,47.0,100.0,24,21,1,없음
2024-08-31,조립,소조립,FLNG-240906,80.0,80.0,11,21,4,없음
2024-08-04,설계,기본 설계,FLNG-240907,10.0,4.0,6,3,3,없음
2024-08-08,설계,기본 설계,FLNG-240907,10.0,4.0,12,23,2,없음
2024-08-13,설계,기본 설계,FLNG-240907,10.0,14.0,18,4,3,없음
2024-08-14,설계,기본 설계,FLNG-240907,14.0,74.0,19,18,2,없음
2024-08-26,설계,기본 설계,FLNG-240907,74.0,100.0,40,21,2,없음
2024-08-27,설계,상세 설계,FLNG-240907,65.0,60.0,29,8,1,설계 변경으로 인한 일부 작업 지연
2024-08-04,설계,기본 설계,FLNG-240908,90.0,80.0,29,11,3,없음
2024-08-05,설계,기본 설계,FLNG-240908,90.0,100.0,6,8,3,없음
2024-08-07,설계,상세 설계,FLNG-240908,15.0,2.0,45,4,4,없음
2024-08-11,설계,상세 설계,FLNG-240908,15.0,2.0,44,3,0,없음
2024-08-12,설계,상세 설계,FLNG-240908,15.0,2.0,26,22,3,없음
2024-08-13,설계,상세 설계,FLNG-240908,15.0,82.0,19,10,2,없음
2024-08-16,설계,상세 설계,FLNG-240908,82.0,82.0,14,18,1,규제 기관의 검토 및 승인 지연
2024-08-17,설계,상세 설계,FLNG-240908,82.0,100.0,47,6,0,없음
2024-08-22,자재 준비 및 가공,강판 절단,FLNG-240908,40.0,40.0,27,16,2,자재 일부 지연 입고
2024-08-25,자재 준비 및 가공,강판 절단,FLNG-240908,40.0,70.0,48,4,1,없음
2024-08-31,자재 준비 및 가공,강판 절단,FLNG-240908,70.0,100.0,36,10,1,자재 일부 지연 입고
2024-08-03,설계,기본 설계,FLNG-240909,5.0,0.0,23,9,3,없음
2024-08-06,설계,기본 설계,FLNG-240909,5.0,45.0,25,9,3,없음
2024-08-10,설계,기본 설계,FLNG-240909,45.0,85.0,27,7,3,규제 기관의 검토 및 승인 지연
2024-08-13,설계,기본 설계,FLNG-240909,85.0,100.0,37,19,3,없음
2024-08-14,설계,상세 설계,FLNG-240909,5.0,5.0,33,14,3,없음
2024-08-20,설계,상세 설계,FLNG-240909,5.0,80.0,25,4,3,없음
2024-08-21,설계,상세 설계,FLNG-240909,80.0,100.0,14,10,1,없음
2024-08-24,자재 준비 및 가공,가공,FLNG-240909,5.0,5.0,37,2,4,없음
2024-08-25,자재 준비 및 가공,가공,FLNG-240909,5.0,25.0,20,15,0,없음
2024-08-29,자재 준비 및 가공,가공,FLNG-240909,25.0,100.0,38,13,2,없음
2024-08-23,자재 준비 및 가공,강판 절단,FLNG-240909,100.0,100.0,8,20,1,없음
2024-08-02,설계,기본 설계,FLNG-240910,60.0,49.0,25,12,1,없음
2024-08-07,설계,기본 설계,FLNG-240910,60.0,89.0,41,17,2,규제 기관의 검토 및 승인 지연
2024-08-08,설계,기본 설계,FLNG-240910,89.0,100.0,15,13,4,없음
2024-08-09,설계,상세 설계,FLNG-240910,25.0,11.0,23,3,1,없음
2024-08-13,설계,상세 설계,FLNG-240910,25.0,26.0,32,18,2,없음
2024-08-14,설계,상세 설계,FLNG-240910,26.0,100.0,40,16,1,없음
2024-08-24,자재 준비 및 가공,가공,FLNG-240910,0.0,0.0,26,3,2,없음
2024-08-29,자재 준비 및 가공,가공,FLNG-240910,0.0,5.0,8,13,4,없음
2024-08-31,자재 준비 및 가공,가공,FLNG-240910,5.0,95.0,20,8,4,없음
2024-08-19,자재 준비 및 가공,강판 절단,FLNG-240910,55.0,50.0,45,12,1,없음
2024-08-21,자재 준비 및 가공,강판 절단,FLNG-240910,55.0,90.0,18,4,3,없음
2024-08-22,자재 준비 및 가공,강판 절단,FLNG-240910,90.0,100.0,17,20,0,자재 품질 문제로 일부 교체 작업
2024-08-02,설계,기본 설계,FLNG-240911,65.0,55.0,22,4,4,없음
2024-08-09,설계,기본 설계,FLNG-240911,65.0,80.0,6,16,3,규제 기관의 검토 및 승인 지연
2024-08-18,설계,기본 설계,FLNG-240911,80.0,100.0,21,16,1,없음
2024-08-21,설계,상세 설계,FLNG-240911,10.0,10.0,31,4,4,없음
2024-08-26,설계,상세 설계,FLNG-240911,10.0,75.0,34,15,0,설계 변경으로 인한 일부 작업 지연
2024-08-30,설계,상세 설계,FLNG-240911,75.0,100.0,18,19,1,없음
2024-08-06,설계,기본 설계,FLNG-240912,60.0,60.0,5,3,0,없음
2024-08-08,설계,기본 설계,FLNG-240912,60.0,85.0,19,21,0,없음
2024-08-09,설계,기본 설계,FLNG-240912,85.0,100.0,8,22,1,없음
2024-08-11,설계,상세 설계,FLNG-240912,85.0,85.0,28,2,4,없음
2024-08-19,설계,상세 설계,FLNG-240912,85.0,100.0,41,5,2,없음
2024-08-25,자재 준비 및 가공,강판 절단,FLNG-240912,95.0,95.0,32,18,1,없음
2024-08-30,자재 준비 및 가공,강판 절단,FLNG-240912,95.0,100.0,44,17,0,없음
2024-08-01,설계,기본 설계,FLNG-240913,25.0,14.0,18,1,3,규제 기관의 검토 및 승인 지연
2024-08-05,설계,기본 설계,FLNG-240913,25.0,69.0,9,22,4,없음
2024-08-08,설계,기본 설계,FLNG-240913,69.0,79.0,34,18,3,없음
2024-08-16,설계,기본 설계,FLNG-240913,79.0,100.0,8,19,4,없음
2024-08-20,설계,상세 설계,FLNG-240913,10.0,10.0,13,2,4,없음
2024-08-21,설계,상세 설계,FLNG-240913,10.0,95.0,17,14,4,없음
2024-08-26,설계,상세 설계,FLNG-240913,95.0,100.0,29,2,4,없음
2024-08-29,자재 준비 및 가공,강판 절단,FLNG-240913,25.0,25.0,7,13,2,자재 일부 지연 입고
2024-08-02,설계,기본 설계,FLNG-240914,20.0,20.0,15,22,1,없음
2024-08-04,설계,기본 설계,FLNG-240914,20.0,60.0,32,19,3,없음
2024-08-05,설계,기본 설계,FLNG-240914,60.0,100.0,10,6,0,없음
2024-08-09,설계,상세 설계,FLNG-240914,40.0,40.0,43,7,4,없음
2024-08-11,설계,상세 설계,FLNG-240914,40.0,75.0,23,12,2,없음
2024-08-12,설계,상세 설계,FLNG-240914,75.0,100.0,31,13,4,없음
2024-08-14,자재 준비 및 가공,강판 절단,FLNG-240914,30.0,16.0,20,12,2,없음
2024-08-15,자재 준비 및 가공,강판 절단,FLNG-240914,30.0,26.0,11,18,1,없음
2024-08-26,자재 준비 및 가공,강판 절단,FLNG-240914,30.0,61.0,36,7,3,없음
2024-08-01,설계,기본 설계,FLNG-240915,35.0,35.0,41,18,1,없음
2024-08-09,설계,기본 설계,FLNG-240915,35.0,45.0,15,12,3,없음
2024-08-10,설계,기본 설계,FLNG-240915,45.0,100.0,14,11,2,규제 기관의 검토 및 승인 지연
2024-08-13,설계,상세 설계,FLNG-240915,100.0,94.0,27,13,4,없음
2024-08-22,설계,상세 설계,FLNG-240915,100.0,100.0,39,5,4,없음
2024-08-01,설계,기본 설계,FLNG-240916,100.0,100.0,34,12,3,없음
2024-08-09,설계,상세 설계,FLNG-240916,60.0,52.0,32,8,4,없음
2024-08-10,설계,상세 설계,FLNG-240916,60.0,100.0,14,10,3,없음
2024-08-27,자재 준비 및 가공,가공,FLNG-240916,5.0,5.0,13,14,2,없음
2024-08-30,자재 준비 및 가공,가공,FLNG-240916,5.0,25.0,37,18,3,없음
2024-08-31,자재 준비 및 가공,가공,FLNG-240916,25.0,75.0,34,11,2,없음
2024-08-15,자재 준비 및 가공,강판 절단,FLNG-240916,15.0,15.0,46,5,1,없음
2024-08-17,자재 준비 및 가공,강판 절단,FLNG-240916,15.0,45.0,16,13,0,없음
2024-08-18,자재 준비 및 가공,강판 절단,FLNG-240916,45.0,55.0,41,21,0,없음
2024-08-25,자재 준비 및 가공,강판 절단,FLNG-240916,55.0,100.0,15,18,3,자재 일부 지연 입고
2024-08-04,설계,기본 설계,FLNG-240917,95.0,95.0,37,19,4,없음
2024-08-06,설계,기본 설계,FLNG-240917,95.0,100.0,46,12,1,없음
2024-08-10,설계,상세 설계,FLNG-240917,85.0,77.0,24,16,4,없음
2024-08-12,설계,상세 설계,FLNG-240917,85.0,82.0,49,22,2,없음
2024-08-13,설계,상세 설계,FLNG-240917,85.0,100.0,27,15,3,없음
2024-08-30,자재 준비 및 가공,가공,FLNG-240917,50.0,44.0,39,3,3,없음
2024-08-16,자재 준비 및 가공,강판 절단,FLNG-240917,100.0,89.0,20,23,0,없음
2024-08-19,자재 준비 및 가공,강판 절단,FLNG-240917,100.0,89.0,5,5,0,없음
2024-08-20,자재 준비 및 가공,강판 절단,FLNG-240917,100.0,100.0,19,6,2,없음
2024-08-03,설계,기본 설계,FLNG-240918,70.0,64.0,48,20,4,없음
2024-08-11,설계,기본 설계,FLNG-240918,70.0,100.0,37,20,0,없음
2024-08-15,설계,상세 설계,FLNG-240918,5.0,0.0,26,6,0,없음
2024-08-20,설계,상세 설계,FLNG-240918,5.0,25.0,40,15,0,없음
2024-08-24,설계,상세 설계,FLNG-240918,25.0,100.0,44,9,2,없음
2024-08-25,자재 준비 및 가공,강판 절단,FLNG-240918,50.0,41.0,43,2,0,자재 품질 문제로 일부 교체 작업
2024-08-28,자재 준비 및 가공,강판 절단,FLNG-240918,50.0,100.0,23,4,4,없음
2024-08-07,설계,기본 설계,FLNG-240919,90.0,90.0,14,21,4,없음
2024-08-09,설계,기본 설계,FLNG-240919,90.0,100.0,25,20,1,없음
2024-08-12,설계,상세 설계,FLNG-240919,15.0,15.0,45,2,0,없음
2024-08-14,설계,상세 설계,FLNG-240919,15.0,85.0,39,13,1,없음
2024-08-17,설계,상세 설계,FLNG-240919,85.0,100.0,37,18,3,없음
2024-08-31,자재 준비 및 가공,가공,FLNG-240919,20.0,20.0,8,21,1,자재 품질 문제로 일부 교체 작업
2024-08-19,자재 준비 및 가공,강판 절단,FLNG-240919,55.0,42.0,38,14,3,없음
2024-08-30,자재 준비 및 가공,강판 절단,FLNG-240919,55.0,100.0,42,9,2,없음
2024-08-02,설계,기본 설계,FLNG-240920,70.0,57.0,48,2,4,없음
2024-08-07,설계,기본 설계,FLNG-240920,70.0,100.0,19,11,0,없음
2024-08-09,설계,상세 설계,FLNG-240920,10.0,3.0,27,8,4,없음
2024-08-10,설계,상세 설계,FLNG-240920,10.0,28.0,29,22,1,없음
2024-08-12,설계,상세 설계,FLNG-240920,28.0,83.0,27,11,2,없음
2024-08-17,설계,상세 설계,FLNG-240920,83.0,100.0,7,1,1,없음
2024-08-21,자재 준비 및 가공,강판 절단,FLNG-240920,0.0,0.0,10,8,4,없음
2024-08-22,자재 준비 및 가공,강판 절단,FLNG-240920,0.0,10.0,9,12,3,자재 품질 문제로 일부 교체 작업
2024-08-26,자재 준비 및 가공,강판 절단,FLNG-240920,10.0,25.0,23,6,2,없음
2024-08-31,자재 준비 및 가공,강판 절단,FLNG-240920,25.0,100.0,49,22,2,자재 일부 지연 입고
2024-08-03,설계,기본 설계,FLNG-240921,85.0,85.0,41,19,1,없음
2024-08-10,설계,기본 설계,FLNG-240921,85.0,85.0,20,22,2,없음
2024-08-15,설계,기본 설계,FLNG-240921,85.0,100.0,20,5,3,없음
2024-08-19,설계,상세 설계,FLNG-240921,60.0,60.0,31,13,2,없음
2024-08-21,설계,상세 설계,FLNG-240921,60.0,85.0,9,23,3,없음
2024-08-22,설계,상세 설계,FLNG-240921,85.0,100.0,33,22,4,없음
2024-08-24,자재 준비 및 가공,강판 절단,FLNG-240921,30.0,30.0,7,20,2,없음
2024-08-28,자재 준비 및 가공,강판 절단,FLNG-240921,30.0,100.0,43,6,1,없음
2024-08-05,설계,기본 설계,FLNG-240922,90.0,85.0,12,23,2,없음
2024-08-10,설계,기본 설계,FLNG-240922,90.0,90.0,37,23,3,없음
2024-08-11,설계,기본 설계,FLNG-240922,90.0,90.0,7,23,2,없음
2024-08-15,설계,기본 설계,FLNG-240922,90.0,100.0,37,15,1,없음
2024-08-23,설계,상세 설계,FLNG-240922,65.0,65.0,47,16,3,없음
2024-08-01,설계,기본 설계,FLNG-240923,100.0,87.0,8,4,3,없음
2024-08-02,설계,기본 설계,FLNG-240923,100.0,100.0,20,17,3,없음
2024-08-11,설계,상세 설계,FLNG-240923,65.0,65.0,25,5,3,없음
2024-08-12,설계,상세 설계,FLNG-240923,65.0,100.0,8,3,0,없음
2024-08-22,자재 준비 및 가공,가공,FLNG-240923,55.0,45.0,48,2,1,자재 품질 문제로 일부 교체 작업
2024-08-26,자재 준비 및 가공,가공,FLNG-240923,55.0,70.0,10,22,0,없음
2024-08-30,자재 준비 및 가공,가공,FLNG-240923,70.0,100.0,23,10,0,없음
2024-08-17,자재 준비 및 가공,강판 절단,FLNG-240923,0.0,0.0,44,12,3,없음
2024-08-18,자재 준비 및 가공,강판 절단,FLNG-240923,0.0,95.0,33,22,4,자재 일부 지연 입고
2024-08-21,자재 준비 및 가공,강판 절단,FLNG-240923,95.0,100.0,8,23,3,자재 품질 문제로 일부 교체 작업
2024-08-03,설계,기본 설계,FLNG-240924,10.0,10.0,6,11,2,없음
2024-08-04,설계,기본 설계,FLNG-240924,10.0,65.0,19,5,2,없음
2024-08-06,설계,기본 설계,FLNG-240924,65.0,70.0,11,2,4,규제 기관의 검토 및 승인 지연
2024-08-08,설계,기본 설계,FLNG-240924,70.0,100.0,36,11,3,없음
2024-08-12,설계,상세 설계,FLNG-240924,10.0,10.0,44,18,2,없음
2024-08-14,설계,상세 설계,FLNG-240924,10.0,75.0,15,1,3,없음
2024-08-17,설계,상세 설계,FLNG-240924,75.0,95.0,39,2,2,설계 변경으로 인한 일부 작업 지연
2024-08-21,설계,상세 설계,FLNG-240924,95.0,100.0,42,7,0,없음
2024-08-26,자재 준비 및 가공,가공,FLNG-240924,45.0,45.0,21,23,1,없음
2024-08-28,자재 준비 및 가공,가공,FLNG-240924,45.0,45.0,25,21,1,없음
2024-08-29,자재 준비 및 가공,가공,FLNG-240924,45.0,100.0,46,23,2,없음
2024-08-24,자재 준비 및 가공,강판 절단,FLNG-240924,60.0,53.0,43,19,0,없음
2024-08-25,자재 준비 및 가공,강판 절단,FLNG-240924,60.0,100.0,44,9,4,없음
2024-08-02,설계,기본 설계,FLNG-240925,60.0,60.0,22,2,0,없음
2024-08-05,설계,기본 설계,FLNG-240925,60.0,100.0,11,17,1,없음
2024-08-06,설계,상세 설계,FLNG-240925,75.0,75.0,45,7,3,설계 변경으로 인한 일부 작업 지연
2024-08-07,설계,상세 설계,FLNG-240925,75.0,100.0,5,3,3,없음
2024-08-20,자재 준비 및 가공,가공,FLNG-240925,40.0,35.0,41,2,3,자재 일부 지연 입고
2024-08-25,자재 준비 및 가공,가공,FLNG-240925,40.0,45.0,43,15,2,없음
2024-08-26,자재 준비 및 가공,가공,FLNG-240925,45.0,100.0,20,4,3,없음
2024-08-09,자재 준비 및 가공,강판 절단,FLNG-240925,75.0,70.0,9,19,2,없음
2024-08-17,자재 준비 및 가공,강판 절단,FLNG-240925,75.0,85.0,40,20,4,없음
2024-08-18,자재 준비 및 가공,강판 절단,FLNG-240925,85.0,90.0,25,4,3,자재 품질 문제로 일부 교체 작업
2024-08-19,자재 준비 및 가공,강판 절단,FLNG-240925,90.0,100.0,21,16,3,없음
2024-08-29,조립,소조립,FLNG-240925,65.0,58.0,9,17,1,없음
2024-08-31,조립,소조립,FLNG-240925,65.0,78.0,49,10,0,없음
2024-08-01,설계,기본 설계,FLNG-240926,30.0,30.0,47,20,1,없음
2024-08-05,설계,기본 설계,FLNG-240926,30.0,80.0,19,14,0,없음
2024-08-08,설계,기본 설계,FLNG-240926,80.0,100.0,31,22,0,설계 변경으로 인한 일부 작업 지연
2024-08-12,설계,상세 설계,FLNG-240926,0.0,0.0,40,4,0,없음
2024-08-13,설계,상세 설계,FLNG-240926,0.0,0.0,46,22,3,없음
2024-08-16,설계,상세 설계,FLNG-240926,0.0,15.0,34,3,0,없음
2024-08-17,설계,상세 설계,FLNG-240926,15.0,15.0,36,16,2,없음
2024-08-21,설계,상세 설계,FLNG-240926,15.0,35.0,42,2,3,없음
2024-08-22,설계,상세 설계,FLNG-240926,35.0,100.0,9,20,4,설계 변경으로 인한 일부 작업 지연
2024-08-28,자재 준비 및 가공,가공,FLNG-240926,55.0,55.0,49,6,2,없음
2024-08-29,자재 준비 및 가공,가공,FLNG-240926,55.0,90.0,41,2,4,없음
2024-08-24,자재 준비 및 가공,강판 절단,FLNG-240926,45.0,45.0,22,18,1,없음
2024-08-25,자재 준비 및 가공,강판 절단,FLNG-240926,45.0,100.0,29,11,1,없음
2024-08-05,설계,기본 설계,FLNG-240927,30.0,30.0,29,17,3,없음
2024-08-09,설계,기본 설계,FLNG-240927,30.0,35.0,45,8,2,없음
2024-08-11,설계,기본 설계,FLNG-240927,35.0,40.0,38,22,3,없음
2024-08-12,설계,기본 설계,FLNG-240927,40.0,100.0,24,21,0,없음
2024-08-13,설계,상세 설계,FLNG-240927,5.0,5.0,45,4,2,없음
2024-08-15,설계,상세 설계,FLNG-240927,5.0,45.0,43,4,2,없음
2024-08-17,설계,상세 설계,FLNG-240927,45.0,100.0,17,4,0,없음
2024-08-26,자재 준비 및 가공,가공,FLNG-240927,50.0,50.0,27,1,2,없음
2024-08-29,자재 준비 및 가공,가공,FLNG-240927,50.0,100.0,37,15,0,없음
2024-08-19,자재 준비 및 가공,강판 절단,FLNG-240927,45.0,45.0,34,5,0,없음
2024-08-22,자재 준비 및 가공,강판 절단,FLNG-240927,45.0,100.0,10,18,1,없음
2024-08-30,조립,소조립,FLNG-240927,20.0,13.0,32,10,3,없음
2024-08-31,조립,소조립,FLNG-240927,20.0,68.0,15,23,0,없음
2024-08-02,설계,기본 설계,FLNG-240928,25.0,25.0,11,2,4,없음
2024-08-06,설계,기본 설계,FLNG-240928,25.0,100.0,37,18,1,없음
2024-08-07,설계,상세 설계,FLNG-240928,60.0,60.0,33,2,0,없음
2024-08-12,설계,상세 설계,FLNG-240928,60.0,100.0,25,5,2,없음
2024-08-28,자재 준비 및 가공,가공,FLNG-240928,40.0,34.0,25,1,4,없음
2024-08-15,자재 준비 및 가공,강판 절단,FLNG-240928,10.0,10.0,49,12,2,없음
2024-08-17,자재 준비 및 가공,강판 절단,FLNG-240928,10.0,65.0,46,12,2,없음
2024-08-24,자재 준비 및 가공,강판 절단,FLNG-240928,65.0,100.0,24,10,4,없음
2024-08-01,설계,기본 설계,FLNG-240929,25.0,16.0,12,21,0,설계 변경으로 인한 일부 작업 지연
2024-08-02,설계,기본 설계,FLNG-240929,25.0,26.0,18,23,1,규제 기관의 검토 및 승인 지연
2024-08-09,설계,기본 설계,FLNG-240929,26.0,66.0,14,17,0,없음
2024-08-10,설계,기본 설계,FLNG-240929,66.0,81.0,46,13,1,없음
2024-08-15,설계,기본 설계,FLNG-240929,81.0,100.0,6,12,0,규제 기관의 검토 및 승인 지연
2024-08-25,설계,상세 설계,FLNG-240929,25.0,18.0,15,12,0,없음
2024-08-27,설계,상세 설계,FLNG-240929,25.0,63.0,25,20,3,없음
2024-08-28,설계,상세 설계,FLNG-240929,63.0,100.0,25,22,4,없음
2024-08-30,자재 준비 및 가공,강판 절단,FLNG-240929,30.0,30.0,27,7,0,없음
2024-08-31,자재 준비 및 가공,강판 절단,FLNG-240929,30.0,85.0,26,12,1,없음
2024-08-03,설계,기본 설계,FLNG-240930,85.0,80.0,27,23,1,없음
2024-08-06,설계,기본 설계,FLNG-240930,85.0,80.0,19,4,4,없음
2024-08-08,설계,기본 설계,FLNG-240930,85.0,80.0,20,23,4,없음
2024-08-09,설계,기본 설계,FLNG-240930,85.0,85.0,37,9,0,없음
2024-08-11,설계,기본 설계,FLNG-240930,85.0,100.0,47,7,0,없음
2024-08-18,설계,상세 설계,FLNG-240930,65.0,65.0,10,7,1,규제 기관의 검토 및 승인 지연
2024-08-19,설계,상세 설계,FLNG-240930,65.0,100.0,21,1,1,없음
2024-08-20,자재 준비 및 가공,강판 절단,FLNG-240930,70.0,58.0,20,9,2,없음
2024-08-22,자재 준비 및 가공,강판 절단,FLNG-240930,70.0,63.0,40,18,4,없음
2024-08-26,자재 준비 및 가공,강판 절단,FLNG-240930,70.0,83.0,47,21,0,자재 일부 지연 입고
2024-08-27,자재 준비 및 가공,강판 절단,FLNG-240930,83.0,100.0,28,5,0,없음
2024-08-05,설계,기본 설계,FLNG-240931,20.0,20.0,38,4,1,없음
2024-08-07,설계,기본 설계,FLNG-240931,20.0,25.0,15,18,3,없음
2024-08-08,설계,기본 설계,FLNG-240931,25.0,100.0,21,4,1,규제 기관의 검토 및 승인 지연
2024-08-12,설계,상세 설계,FLNG-240931,65.0,65.0,40,14,1,없음
2024-08-20,설계,상세 설계,FLNG-240931,65.0,100.0,34,8,3,없음
2024-08-25,자재 준비 및 가공,가공,FLNG-240931,50.0,50.0,7,18,0,없음
2024-08-27,자재 준비 및 가공,가공,FLNG-240931,50.0,95.0,25,23,3,없음
